CPU(%),MEM_RSS(MB),MEM_VMS(MB),NO_FDs
83.50,234.6,2743.5,102
109.40,556.5,3103.8,158
53.90,558.3,3233.4,185
29.50,460.0,3215.4,182
40.00,338.0,3215.3,172
3.50,330.3,3215.3,168
0.00,330.7,3215.3,168
24.50,330.8,3215.3,168
64.40,356.3,3234.9,184
44.90,364.8,3236.0,213
82.90,407.3,3527.7,226
1.50,394.3,3543.6,224
19.00,384.3,3533.6,202
1.50,384.3,3533.6,201
2.50,388.8,3533.6,199
25.00,395.5,3535.6,199
21.00,403.8,3540.1,224
49.50,411.9,3540.3,216
84.40,445.9,3562.5,240
31.50,399.5,3558.5,224
55.00,392.0,3558.4,220
35.50,398.0,3562.4,228
41.50,441.4,11743.0,235
8.50,449.4,11752.5,236
0.50,449.6,11752.5,236
0.50,449.7,11752.5,236
2.00,446.0,11752.5,231
0.50,446.0,11752.5,230
6.00,447.9,11752.5,234
1.00,446.5,11752.5,225
46.50,448.8,11753.0,223
32.00,479.7,11758.0,227
55.50,502.4,11795.0,227
30.50,508.8,11792.5,224
27.00,508.3,11797.3,225
26.00,479.5,11794.3,223
23.50,464.2,11799.2,222
12.00,461.5,11813.1,220
