CPU(%),MEM_RSS(MB),MEM_VMS(MB),NO_FDs
24.70,52.8,873.0,18
9.30,52.8,873.0,18
0.00,52.8,873.0,18
0.00,52.8,873.0,18
0.00,52.8,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
0.00,53.0,873.0,18
